work_id,title,release,module,risk,size,depends_on,files,verification
CORE-REPOBUIL-CICD-TUW-001,pnpm+turborepo 모노레포 skeleton 및 dev compose(PG16+MinIO) 구성,R0,CORE-REPOBUIL-CICD,M,M,,package.json;pnpm-workspace.yaml;turbo.json;infra/docker-compose.dev.yml;AGENTS.md,신규 클론 pnpm install 성공 AND compose로 postgres16·minio healthy AND AGENTS.md가 90 템플릿과 일치
CORE-REPOBUIL-CICD-TUW-002,apps/api·apps/web·packages/shared·domain·ai(placeholder)·workers/ingestion 패키지 분리,R0,CORE-REPOBUIL-CICD,M,M,CORE-REPOBUIL-CICD-TUW-001,apps/api/src/main.ts;apps/web/src/app/layout.tsx;packages/shared/src/index.ts;packages/domain/src/index.ts;packages/ai/src/index.ts;workers/ingestion/app/main.py,pnpm build 전 패키지 green AND packages/ai 구현체 0건(grep) AND packages/domain IO import 0건 AND /v1 prefix 스모크
CORE-REPOBUIL-CICD-TUW-003,lint·typecheck·test·build CI 파이프라인 구성,R0,CORE-REPOBUIL-CICD,M,M,CORE-REPOBUIL-CICD-TUW-002,.github/workflows/ci.yml;infra/ci/README.md;eslint.config.mjs,4단계 로컬 exit 0 AND PR 트리거 CI 동작·고의 실패 시 red 증명 AND 기존 verification 회귀 green
CORE-REPOBUIL-CICD-TUW-004,컨테이너 빌드·태깅까지의 staging 배포 파이프라인 skeleton,R0,CORE-REPOBUIL-CICD,M,S,CORE-REPOBUIL-CICD-TUW-003,apps/api/Dockerfile;apps/web/Dockerfile;workers/ingestion/Dockerfile;infra/ci/staging-deploy.yml,docker build 3종 성공 AND 파이프라인이 SHA 태깅 수행 AND 이미지 내 시크릿 미포함 AND CI 회귀 green
CORE-REPOBUIL-CICD-TUW-005,수동 승인 포함 production 배포 gate skeleton,R0,CORE-REPOBUIL-CICD,M,S,CORE-REPOBUIL-CICD-TUW-004,infra/ci/prod-gate.yml;infra/ci/PROD_GATE.md,수동 트리거 시 승인 대기 정지 증명 AND 승인 우회 경로 부재(정적 검토) AND 파이프라인 회귀 green
CORE-DATACORE-MIGR-TUW-001,PostgreSQL migration 도구 확정(SQL-first) 및 db:migrate/db:rollback 배선,R0,CORE-DATACORE-MIGR,H,M,CORE-REPOBUIL-CICD-TUW-001,db/migrations/README.md;tools/db/migrate.ts;db/migrations/0000_noop.sql,빈 DB migrate/rollback 왕복 exit 0 AND 재실행 멱등 AND 도구 결정 근거 기록 AND 회귀 green
CORE-DATACORE-MIGR-TUW-002,초기 스키마 마이그레이션: tenants·users·audit_events (tenant_id NOT NULL + FORCE RLS),R0,CORE-DATACORE-MIGR,H,M,CORE-DATACORE-MIGR-TUW-001,db/migrations/0001_initial_schema.sql,migrate green AND negative: tenant context 미설정/타 tenant 조회 0건(RLS) AND tenant_id NULL INSERT 거부 AND rollback 왕복 green
CORE-DATACORE-MIGR-TUW-003,데모 tenant 2개+사용자 fixture seed loader(멱등),R0,CORE-DATACORE-MIGR,M,S,CORE-DATACORE-MIGR-TUW-002,tools/db/seed.ts;tests/fixtures/seed/users.json,tenants 2·users 4 적재 AND 재실행 멱등 AND 비밀번호 해시 저장 AND production에서 실행 거부 AND 회귀 green
CORE-DATACORE-MIGR-TUW-004,migration rollback 절차 문서화 + 왕복 검증 CI 자동화,R0,CORE-DATACORE-MIGR,H,S,CORE-DATACORE-MIGR-TUW-003,db/migrations/ROLLBACK.md;infra/ci/scripts/migration-roundtrip.sh,migrate→전체 rollback→재migrate 왕복 green AND down 누락 감지 negative 증명 AND CI job green AND 회귀 green
CORE-DATACORE-MIGR-TUW-005,tenant_id+RLS 동반 규약 문서·TEMPLATE.sql·CI 위반 검사,R0,CORE-DATACORE-MIGR,H,M,CORE-DATACORE-MIGR-TUW-004,db/migrations/CONVENTIONS.md;db/migrations/TEMPLATE.sql;infra/ci/scripts/check-migration-conventions.sh,기존 마이그레이션 검사 통과 AND negative: tenant_id/RLS/예외주석 누락 fixture 3종 각 실패 AND CI green AND 회귀 green
