work_id,pid,pillar,domain,module,title,objective,outputs,dependencies,risk,model_routing,verification,escalation
DEVOPS-DEVECONS-CONSMANA-TUW-001,P0,Development Operating System,Development Constitution,Constitution Manager,Product Constitution 초안 작성,Product Constitution 초안 작성을/를 구현하여 Constitution Manager capability를 검증 가능한 단위로 제공한다.,서비스 함수/API/UI/worker/test 중 해당 산출물,상위 schema/API 확정,High,Tier B + Reviewer,"기능검증, 권한검증, 감사로그 또는 회귀검증 중 해당 항목 통과","명세 불명확, 권한/보안 영향, schema 변경 필요, loop budget 초과 시 Planner/Governor로 escalate"
DEVOPS-DEVECONS-CONSMANA-TUW-002,P0,Development Operating System,Development Constitution,Constitution Manager,Data Constitution 초안 작성,Data Constitution 초안 작성을/를 구현하여 Constitution Manager capability를 검증 가능한 단위로 제공한다.,서비스 함수/API/UI/worker/test 중 해당 산출물,상위 schema/API 확정,High,Tier B + Reviewer,"기능검증, 권한검증, 감사로그 또는 회귀검증 중 해당 항목 통과","명세 불명확, 권한/보안 영향, schema 변경 필요, loop budget 초과 시 Planner/Governor로 escalate"
DEVOPS-DEVECONS-CONSMANA-TUW-003,P0,Development Operating System,Development Constitution,Constitution Manager,Security Constitution 초안 작성,Security Constitution 초안 작성을/를 구현하여 Constitution Manager capability를 검증 가능한 단위로 제공한다.,서비스 함수/API/UI/worker/test 중 해당 산출물,상위 schema/API 확정,High,Tier B + Reviewer,"기능검증, 권한검증, 감사로그 또는 회귀검증 중 해당 항목 통과","명세 불명확, 권한/보안 영향, schema 변경 필요, loop budget 초과 시 Planner/Governor로 escalate"
DEVOPS-DEVECONS-CONSMANA-TUW-004,P0,Development Operating System,Development Constitution,Constitution Manager,AI Constitution 초안 작성,AI Constitution 초안 작성을/를 구현하여 Constitution Manager capability를 검증 가능한 단위로 제공한다.,서비스 함수/API/UI/worker/test 중 해당 산출물,상위 schema/API 확정,High,Tier B + Reviewer,"기능검증, 권한검증, 감사로그 또는 회귀검증 중 해당 항목 통과","명세 불명확, 권한/보안 영향, schema 변경 필요, loop budget 초과 시 Planner/Governor로 escalate"
DEVOPS-DEVECONS-CONSMANA-TUW-005,P0,Development Operating System,Development Constitution,Constitution Manager,Verification Constitution 초안 작성,Verification Constitution 초안 작성을/를 구현하여 Constitution Manager capability를 검증 가능한 단위로 제공한다.,서비스 함수/API/UI/worker/test 중 해당 산출물,상위 schema/API 확정,High,Tier B + Reviewer,"기능검증, 권한검증, 감사로그 또는 회귀검증 중 해당 항목 통과","명세 불명확, 권한/보안 영향, schema 변경 필요, loop budget 초과 시 Planner/Governor로 escalate"
DEVOPS-DEVECONS-CONSMANA-TUW-006,P0,Development Operating System,Development Constitution,Constitution Manager,Release Constitution 초안 작성,Release Constitution 초안 작성을/를 구현하여 Constitution Manager capability를 검증 가능한 단위로 제공한다.,서비스 함수/API/UI/worker/test 중 해당 산출물,상위 schema/API 확정,High,Tier B + Reviewer,"기능검증, 권한검증, 감사로그 또는 회귀검증 중 해당 항목 통과","명세 불명확, 권한/보안 영향, schema 변경 필요, loop budget 초과 시 Planner/Governor로 escalate"
DEVOPS-DEVECONS-CONSMANA-TUW-007,P0,Development Operating System,Development Constitution,Constitution Manager,Ledger Constitution 초안 작성,Ledger Constitution 초안 작성을/를 구현하여 Constitution Manager capability를 검증 가능한 단위로 제공한다.,서비스 함수/API/UI/worker/test 중 해당 산출물,상위 schema/API 확정,High,Tier B + Reviewer,"기능검증, 권한검증, 감사로그 또는 회귀검증 중 해당 항목 통과","명세 불명확, 권한/보안 영향, schema 변경 필요, loop budget 초과 시 Planner/Governor로 escalate"
DEVOPS-WORKCONT-AGENWORKCO-TUW-001,P0,Development Operating System,Work Contracting,Agent Work Contract Builder,Agent Work Contract 표준 필드 정의,Agent Work Contract 표준 필드 정의을/를 구현하여 Agent Work Contract Builder capability를 검증 가능한 단위로 제공한다.,서비스 함수/API/UI/worker/test 중 해당 산출물,상위 schema/API 확정,High,Tier B + Reviewer,"기능검증, 권한검증, 감사로그 또는 회귀검증 중 해당 항목 통과","명세 불명확, 권한/보안 영향, schema 변경 필요, loop budget 초과 시 Planner/Governor로 escalate"
DEVOPS-WORKCONT-AGENWORKCO-TUW-002,P0,Development Operating System,Work Contracting,Agent Work Contract Builder,Readiness Gate checklist 구현,Readiness Gate checklist 구현을/를 구현하여 Agent Work Contract Builder capability를 검증 가능한 단위로 제공한다.,서비스 함수/API/UI/worker/test 중 해당 산출물,상위 schema/API 확정,High,Tier B + Reviewer,"기능검증, 권한검증, 감사로그 또는 회귀검증 중 해당 항목 통과","명세 불명확, 권한/보안 영향, schema 변경 필요, loop budget 초과 시 Planner/Governor로 escalate"
DEVOPS-WORKCONT-AGENWORKCO-TUW-003,P0,Development Operating System,Work Contracting,Agent Work Contract Builder,Completion Gate checklist 구현,Completion Gate checklist 구현을/를 구현하여 Agent Work Contract Builder capability를 검증 가능한 단위로 제공한다.,서비스 함수/API/UI/worker/test 중 해당 산출물,상위 schema/API 확정,High,Tier B + Reviewer,"기능검증, 권한검증, 감사로그 또는 회귀검증 중 해당 항목 통과","명세 불명확, 권한/보안 영향, schema 변경 필요, loop budget 초과 시 Planner/Governor로 escalate"
